entry_time,entry_price,exit_time,exit_price,hold_seconds,quantity,profit_bps,cost_bps,net_profit_bps,pnl_amount,merge_count
2025-12-11 09:41:09,1.581,2025-12-11 09:43:09,1.582,120.0,134600.0,6.325110689437773,2.0,4.325110689437773,92.02602000001934,0.0
2025-12-11 09:51:48,1.579,2025-12-11 09:53:18,1.58,90.0,134800.0,6.333122229259734,2.0,4.333122229259734,92.21668000001227,0.0
2025-12-11 09:56:54,1.576,2025-12-11 09:58:00,1.577,66.0,135200.0,6.345177664973921,2.0,4.345177664973921,92.57143999997061,0.0
2025-12-11 10:00:36,1.576,2025-12-11 10:02:18,1.577,102.0,135200.0,6.345177664973921,2.0,4.345177664973921,92.57143999997061,0.0
2025-12-11 10:23:54,1.574,2025-12-11 10:25:48,1.575,114.0,135400.0,6.353240152477063,2.0,4.353240152477063,92.76253999999608,0.0
2025-12-11 10:41:54,1.57,2025-12-11 10:43:54,1.571,120.0,135800.0,6.3694267515916545,2.0,4.369426751591655,93.14521999997669,0.0
2025-12-11 11:04:27,1.568,2025-12-11 11:05:54,1.569,87.0,136100.0,6.37755102040746,2.0,4.37755102040746,93.40542999998434,0.0
2025-12-11 11:14:00,1.567,2025-12-11 11:15:51,1.568,111.0,136200.0,6.38162093171737,2.0,4.38162093171737,93.50130000003264,0.0
2025-12-11 13:00:24,1.568,2025-12-11 13:02:18,1.569,114.0,136200.0,6.37755102040746,2.0,4.37755102040746,93.47405999997864,0.0
2025-12-11 14:00:00,1.565,2025-12-11 14:01:18,1.566,78.0,136500.0,6.389776357828191,2.0,4.389776357828192,93.76185000000987,0.0
2025-12-11 14:31:12,1.566,2025-12-11 14:32:57,1.567,105.0,136500.0,6.385696040867751,2.0,4.385696040867751,93.73455000002286,0.0
2025-12-11 14:34:45,1.567,2025-12-11 14:36:15,1.568,90.0,136500.0,6.38162093171737,2.0,4.38162093171737,93.70725000000675,0.0
2025-12-15 09:30:06,1.576,2025-12-15 09:31:42,1.577,96.0,135700.0,6.345177664973921,2.0,4.345177664973921,92.91378999999142,0.0
2025-12-15 09:32:39,1.576,2025-12-15 09:33:06,1.577,27.0,135800.0,6.345177664973921,2.0,4.345177664973921,92.98225999998976,0.0
2025-12-15 09:34:12,1.577,2025-12-15 09:36:09,1.578,117.0,135800.0,6.341154090045098,2.0,4.341154090045098,92.95510000002105,0.0
2025-12-15 09:48:00,1.575,2025-12-15 09:50:00,1.577,120.0,136000.0,12.698412698412708,2.0,10.698412698412708,229.13280000002123,0.0
2025-12-15 09:50:30,1.576,2025-12-15 09:52:30,1.577,120.0,136100.0,6.345177664973921,2.0,4.345177664973921,93.18766999998479,0.0
2025-12-15 10:02:48,1.577,2025-12-15 10:04:21,1.578,93.0,136000.0,6.341154090045098,2.0,4.341154090045098,93.09200000000419,0.0
2025-12-15 10:24:54,1.577,2025-12-15 10:26:54,1.578,120.0,136100.0,6.341154090045098,2.0,4.341154090045098,93.16045000005397,0.0
2025-12-15 13:47:24,1.572,2025-12-15 13:48:45,1.573,81.0,136600.0,6.361323155215584,2.0,4.361323155215584,93.63929999998072,0.0
2025-12-17 09:30:24,1.543,2025-12-17 09:31:36,1.544,72.0,139200.0,6.480881399871108,2.0,4.480881399871108,96.22896000006585,0.0
2025-12-17 09:33:27,1.542,2025-12-17 09:34:51,1.543,84.0,139400.0,6.485084306095264,2.0,4.485084306095264,96.39509999999427,0.0
2025-12-17 09:38:30,1.541,2025-12-17 09:43:45,1.546,315.0,139500.0,32.44646333549718,2.0,30.44646333549718,0.0,2.0
2025-12-17 09:45:57,1.546,2025-12-17 09:47:57,1.547,120.0,139300.0,6.468305304009636,2.0,4.468305304009637,96.21450999996159,0.0
2025-12-17 09:57:12,1.544,2025-12-17 09:58:39,1.545,87.0,139500.0,6.476683937823121,2.0,4.476683937823121,96.40844999998808,0.0
2025-12-17 10:00:30,1.545,2025-12-17 10:02:30,1.546,120.0,139500.0,6.4724919093858375,2.0,4.4724919093858375,96.38055000000168,0.0
2025-12-17 10:08:42,1.544,2025-12-17 10:11:06,1.546,144.0,139600.0,12.953367875647679,2.0,10.953367875647679,0.0,1.0
2025-12-17 10:16:30,1.546,2025-12-17 10:18:27,1.547,117.0,139600.0,6.468305304009636,2.0,4.468305304009637,96.4217199999839,0.0
2025-12-17 10:20:15,1.547,2025-12-17 10:22:09,1.548,114.0,139500.0,6.464124111183659,2.0,4.464124111183659,96.32474999999977,0.0
2025-12-17 10:25:39,1.547,2025-12-17 10:29:30,1.549,231.0,139600.0,12.928248222365882,2.0,10.92824822236588,0.0,1.0
2025-12-17 10:58:27,1.546,2025-12-17 11:00:21,1.547,114.0,139800.0,6.468305304009636,2.0,4.468305304009637,96.55985999995028,0.0
2025-12-17 13:31:12,1.546,2025-12-17 13:32:06,1.547,54.0,139900.0,6.468305304009636,2.0,4.468305304009637,96.62892999997712,0.0
2025-12-17 13:39:09,1.548,2025-12-17 13:41:09,1.549,120.0,139800.0,6.459948320412725,2.0,4.459948320412725,96.50393999999505,0.0
2025-12-17 13:43:09,1.55,2025-12-17 13:45:03,1.551,114.0,139600.0,6.4516129032250955,2.0,4.4516129032250955,96.31003999998211,0.0
2025-12-17 13:47:54,1.551,2025-12-17 13:49:54,1.552,120.0,139600.0,6.447453255964616,2.0,4.447453255964617,96.28212000004714,0.0
2025-12-17 13:50:18,1.551,2025-12-17 13:51:03,1.552,45.0,139700.0,6.447453255964616,2.0,4.447453255964617,96.35109000004013,0.0
2025-12-17 13:57:12,1.553,2025-12-17 13:58:54,1.554,102.0,139600.0,6.439150032196471,2.0,4.439150032196471,96.22628000000259,0.0
2025-12-17 14:01:51,1.555,2025-12-17 14:03:51,1.556,120.0,139400.0,6.430868167203292,2.0,4.430868167203292,96.03265999999712,0.0
2025-12-17 14:08:09,1.556,2025-12-17 14:10:06,1.557,117.0,139400.0,6.426735218508289,2.0,4.4267352185082895,96.00478000001749,0.0
2025-12-17 14:21:39,1.556,2025-12-17 14:23:09,1.557,90.0,139500.0,6.426735218508289,2.0,4.4267352185082895,96.07365000000573,0.0
2025-12-18 09:33:09,1.546,2025-12-18 09:34:00,1.547,51.0,140400.0,6.468305304009636,2.0,4.468305304009637,96.9742799999949,0.0
2025-12-18 09:35:21,1.546,2025-12-18 09:41:27,1.549,366.0,140500.0,19.404915912030347,2.0,17.404915912030344,0.0,2.0
